Top 50 values of username.keyword,Count of records
root,"12,940"
sol,"1,934"
solv,"1,331"
ubuntu,"1,162"
admin,"1,161"
345gs5662d34,"1,151"
solana,"1,079"
user,695
oracle,607
test,576
postgres,441
guest,338
ftpuser,322
git,283
mysql,272
node,205
pi,190
hadoop,182
debian,170
ethereum,163
ec2-user,152
validator,149
dev,137
es,135
ftp,126
nginx,115
backup,114
deploy,109
p,109
support,109
dspace,100
developer,97
newuser,94
user1,94
testuser,92
docker,91
administrator,90
centos,90
steam,84
odoo,82
www,80
elastic,76
jenkins,76
elasticsearch,75
apache,66
ftptest,65
tomcat,63
nagios,55
daemon,50
webmaster,50